"Category","ServerName","TaskPath","TaskName","State","RunAs","Actions","LastRunTime","LastResult","NextRunTime","Author","Description"
"ScheduledTask","LAB-DC01","\","CreateExplorerShellUnelevatedTask","Running","Administrator","C:\Windows\Explorer.EXE","8/17/2026 9:47:47 AM","267009",,"ExplorerShellUnelevated",
"ScheduledTask","LAB-DC01","\Microsoft\Windows\.NET Framework\",".NET Framework NGEN v4.0.30319","Ready","SYSTEM","CimInstance","8/14/2026 3:17:17 PM","0",,,
"ScheduledTask","LAB-DC01","\Microsoft\Windows\.NET Framework\",".NET Framework NGEN v4.0.30319 64","Ready","SYSTEM","CimInstance","8/14/2026 3:17:17 PM","0",,,
"ScheduledTask","LAB-DC01","\Microsoft\Windows\.NET Framework\",".NET Framework NGEN v4.0.30319 64 Critical","Disabled","SYSTEM","CimInstance","11/30/1999 6:00:00 PM","267011",,,
"ScheduledTask","LAB-DC01","\Microsoft\Windows\.NET Framework\",".NET Framework NGEN v4.0.30319 Critical","Disabled","SYSTEM","CimInstance","11/30/1999 6:00:00 PM","267011",,,
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Active Directory Rights Management Services Client\","AD RMS Rights Policy Template Management (Automated)","Disabled",,"CimInstance","11/30/1999 6:00:00 PM","267011","8/18/2026 8:21:21 PM","Microsoft Corporation","Updates the AD RMS rights policy templates for the user. This job does not provide a credential prompt if authentication to the template distribution web service on the server fails. In this case, it fails silently."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Active Directory Rights Management Services Client\","AD RMS Rights Policy Template Management (Manual)","Ready",,"CimInstance","11/30/1999 6:00:00 PM","267011",,"Microsoft Corporation","Updates the AD RMS rights policy templates for the user. This job provides a credential prompt if authentication to the template distribution web service on the server fails."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\AppID\","EDP Policy Manager","Ready","LOCAL SERVICE","CimInstance","11/30/1999 6:00:00 PM","267011",,"Microsoft Corporation","This task performs steps necessary to configure Enterprise Data Protection."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\AppID\","PolicyConverter","Disabled","SYSTEM","%windir%\system32\appidpolicyconverter.exe","11/30/1999 6:00:00 PM","267011",,"Microsoft Corporation","Converts the software restriction policies policy from XML into binary format."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\AppID\","SmartScreenSpecific","Ready","SYSTEM","CimInstance","8/17/2026 10:17:17 AM","0",,"Microsoft Corporation","Task that collects data for SmartScreen in Windows"
"ScheduledTask","LAB-DC01","\Microsoft\Windows\AppID\","VerifiedPublisherCertStoreCheck","Disabled","LOCAL SERVICE","%windir%\system32\appidcertstorecheck.exe","11/30/1999 6:00:00 PM","267011",,"Microsoft Corporation","Inspects the AppID certificate cache for invalid or revoked certificates."
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Application Experience\","Microsoft Compatibility Appraiser","Ready","SYSTEM","%windir%\system32\compattelrunner.exe","8/17/2026 8:09:09 PM","0","8/18/2026 9:56:56 PM","$(@%SystemRoot%\system32\appraiser.dll,-501)","$(@%SystemRoot%\system32\appraiser.dll,-502)"
"ScheduledTask","LAB-DC01","\Microsoft\Windows\Application Experience\","ProgramDataUpdater","Ready","SYSTEM","%windir%\system32\compattelrunner.exe","8/14/2026 3:17:17 PM","0",,"$(@%SystemRoot%\system32\invagent.dll,-701)","$(@%SystemRoot%\system32\invagent.dll,-702)"
