"Category","ServerName","Name","DisplayName","State","StartMode","StartName","PathName","Description"
"Service","LAB-DC01","ADWS","Active Directory Web Services","Running","Auto","LocalSystem","C:\Windows\ADWS\Microsoft.ActiveDirectory.WebServices.exe","This service provides a Web Service interface to instances of the directory service (AD DS and AD LDS) that are running locally on this server. If this service is stopped or disabled, client applications, such as Active Directory PowerShell, will not be able to access or manage any directory service instances that are running locally on this server."
"Service","LAB-DC01","AJRouter","AllJoyn Router Service","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted","Routes AllJoyn messages for the local AllJoyn clients. If this service is stopped the AllJoyn clients that do not have their own bundled routers will be unable to run."
"Service","LAB-DC01","ALG","Application Layer Gateway Service","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\alg.exe","Provides support for 3rd party protocol plug-ins for Internet Connection Sharing"
"Service","LAB-DC01","AppIDSvc","Application Identity","Stopped","Manual","NT Authority\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted","Determines and verifies the identity of an application. Disabling this service will prevent AppLocker from being enforced."
"Service","LAB-DC01","Appinfo","Application Information","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs","Facilitates the running of interactive applications with additional administrative privileges.  If this service is stopped, users will be unable to launch applications with the additional administrative privileges they may require to perform desired user tasks."
"Service","LAB-DC01","AppMgmt","Application Management","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs","Processes installation, removal, and enumeration requests for software deployed through Group Policy. If the service is disabled, users will be unable to install, remove, or enumerate software deployed through Group Policy. If this service is disabled, any services that explicitly depend on it will fail to start."
"Service","LAB-DC01","AppReadiness","App Readiness","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k AppReadiness","Gets apps ready for use the first time a user signs in to this PC and when adding new apps."
"Service","LAB-DC01","AppVClient","Microsoft App-V Client","Stopped","Disabled","LocalSystem","C:\Windows\system32\AppVClient.exe","Manages App-V users and virtual applications"
"Service","LAB-DC01","AppXSvc","AppX Deployment Service (AppXSVC)","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k wsappx","Provides infrastructure support for deploying Store applications. This service is started on demand and if disabled Store applications will not be deployed to the system, and may not function properly."
"Service","LAB-DC01","AudioEndpointBuilder","Windows Audio Endpoint Builder","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted","Manages audio devices for the Windows Audio service.  If this service is stopped, audio devices and effects will not function properly.  If this service is disabled, any services that explicitly depend on it will fail to start"
"Service","LAB-DC01","Audiosrv","Windows Audio","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted","Manages audio for Windows-based programs.  If this service is stopped, audio devices and effects will not function properly.  If this service is disabled, any services that explicitly depend on it will fail to start"
"Service","LAB-DC01","AxInstSV","ActiveX Installer (AxInstSV)","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k AxInstSVGroup","Provides User Account Control validation for the installation of ActiveX controls from the Internet and enables management of ActiveX control installation based on Group Policy settings. This service is started on demand and if disabled the installation of ActiveX controls will behave according to default browser settings."
"Service","LAB-DC01","BFE","Base Filtering Engine","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork","The Base Filtering Engine (BFE) is a service that manages firewall and Internet Protocol security (IPsec) policies and implements user mode filtering. Stopping or disabling the BFE service will significantly reduce the security of the system. It will also result in unpredictable behavior in IPsec management and firewall applications."
"Service","LAB-DC01","BITS","Background Intelligent Transfer Service","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k netsvcs","Transfers files in the background using idle network bandwidth. If the service is disabled, then any applications that depend on BITS, such as Windows Update or MSN Explorer, will be unable to automatically download programs and other information."
"Service","LAB-DC01","BrokerInfrastructure","Background Tasks Infrastructure Service","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k DcomLaunch","Windows infrastructure service that controls which background tasks can run on the system."
"Service","LAB-DC01","Browser","Computer Browser","Stopped","Disabled","LocalSystem","C:\Windows\System32\svchost.exe -k smbsvcs","Maintains an updated list of computers on the network and supplies this list to computers designated as browsers. If this service is stopped, this list will not be updated or maintained. If this service is disabled, any services that explicitly depend on it will fail to start."
"Service","LAB-DC01","bthserv","Bluetooth Support Service","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService","The Bluetooth service supports discovery and association of remote Bluetooth devices.  Stopping or disabling this service may cause already installed Bluetooth devices to fail to operate properly and prevent new devices from being discovered or associated."
"Service","LAB-DC01","CDPSvc","Connected Devices Platform Service","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService","This service is used for Connected Devices and Universal Glass scenarios"
