"Category","ServerName","Name","DisplayName","State","StartMode","StartName","PathName","Description"
"Service","192.168.149.10","ADWS","Active Directory Web Services","Running","Auto","LocalSystem","C:\Windows\ADWS\Microsoft.ActiveDirectory.WebServices.exe","This service provides a Web Service interface to instances of the directory service (AD DS and AD LDS) that are running locally on this server. If this service is stopped or disabled, client applications, such as Active Directory PowerShell, will not be able to access or manage any directory service instances that are running locally on this server."
"Service","192.168.149.10","AJRouter","AllJoyn Router Service","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted","Routes AllJoyn messages for the local AllJoyn clients. If this service is stopped the AllJoyn clients that do not have their own bundled routers will be unable to run."
"Service","192.168.149.10","ALG","Application Layer Gateway Service","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\alg.exe","Provides support for 3rd party protocol plug-ins for Internet Connection Sharing"
"Service","192.168.149.10","AppIDSvc","Application Identity","Stopped","Manual","NT Authority\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted","Determines and verifies the identity of an application. Disabling this service will prevent AppLocker from being enforced."
"Service","192.168.149.10","Appinfo","Application Information","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs","Facilitates the running of interactive applications with additional administrative privileges.  If this service is stopped, users will be unable to launch applications with the additional administrative privileges they may require to perform desired user tasks."
"Service","192.168.149.10","AppMgmt","Application Management","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs","Processes installation, removal, and enumeration requests for software deployed through Group Policy. If the service is disabled, users will be unable to install, remove, or enumerate software deployed through Group Policy. If this service is disabled, any services that explicitly depend on it will fail to start."
"Service","192.168.149.10","AppReadiness","App Readiness","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k AppReadiness","Gets apps ready for use the first time a user signs in to this PC and when adding new apps."
"Service","192.168.149.10","AppVClient","Microsoft App-V Client","Stopped","Disabled","LocalSystem","C:\Windows\system32\AppVClient.exe","Manages App-V users and virtual applications"
"Service","192.168.149.10","AppXSvc","AppX Deployment Service (AppXSVC)","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k wsappx","Provides infrastructure support for deploying Store applications. This service is started on demand and if disabled Store applications will not be deployed to the system, and may not function properly."
"Service","192.168.149.10","AudioEndpointBuilder","Windows Audio Endpoint Builder","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted","Manages audio devices for the Windows Audio service.  If this service is stopped, audio devices and effects will not function properly.  If this service is disabled, any services that explicitly depend on it will fail to start"
"Service","192.168.149.10","Audiosrv","Windows Audio","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted","Manages audio for Windows-based programs.  If this service is stopped, audio devices and effects will not function properly.  If this service is disabled, any services that explicitly depend on it will fail to start"
"Service","192.168.149.10","AxInstSV","ActiveX Installer (AxInstSV)","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k AxInstSVGroup","Provides User Account Control validation for the installation of ActiveX controls from the Internet and enables management of ActiveX control installation based on Group Policy settings. This service is started on demand and if disabled the installation of ActiveX controls will behave according to default browser settings."
"Service","192.168.149.10","BFE","Base Filtering Engine","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork","The Base Filtering Engine (BFE) is a service that manages firewall and Internet Protocol security (IPsec) policies and implements user mode filtering. Stopping or disabling the BFE service will significantly reduce the security of the system. It will also result in unpredictable behavior in IPsec management and firewall applications."
"Service","192.168.149.10","BITS","Background Intelligent Transfer Service","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k netsvcs","Transfers files in the background using idle network bandwidth. If the service is disabled, then any applications that depend on BITS, such as Windows Update or MSN Explorer, will be unable to automatically download programs and other information."
"Service","192.168.149.10","BrokerInfrastructure","Background Tasks Infrastructure Service","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k DcomLaunch","Windows infrastructure service that controls which background tasks can run on the system."
"Service","192.168.149.10","Browser","Computer Browser","Stopped","Disabled","LocalSystem","C:\Windows\System32\svchost.exe -k smbsvcs","Maintains an updated list of computers on the network and supplies this list to computers designated as browsers. If this service is stopped, this list will not be updated or maintained. If this service is disabled, any services that explicitly depend on it will fail to start."
"Service","192.168.149.10","bthserv","Bluetooth Support Service","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService","The Bluetooth service supports discovery and association of remote Bluetooth devices.  Stopping or disabling this service may cause already installed Bluetooth devices to fail to operate properly and prevent new devices from being discovered or associated."
"Service","192.168.149.10","CDPSvc","Connected Devices Platform Service","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService","This service is used for Connected Devices and Universal Glass scenarios"
"Service","192.168.149.10","CertPropSvc","Certificate Propagation","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs","Copies user certificates and root certificates from smart cards into the current user's certificate store, detects when a smart card is inserted into a smart card reader, and, if needed, installs the smart card Plug and Play minidriver."
"Service","192.168.149.10","ClipSVC","Client License Service (ClipSVC)","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k wsappx","Provides infrastructure support for the Microsoft Store. This service is started on demand and if disabled applications bought using Windows Store will not behave correctly."
"Service","192.168.149.10","COMSysApp","COM+ System Application","Stopped","Manual","LocalSystem","C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}","Manages the configuration and tracking of Component Object Model (COM)+-based components. If the service is stopped, most COM+-based components will not function properly. If this service is disabled, any services that explicitly depend on it will fail to start."
"Service","192.168.149.10","CoreMessagingRegistrar","CoreMessaging","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork","Manages communication between system components."
"Service","192.168.149.10","CryptSvc","Cryptographic Services","Running","Auto","NT Authority\NetworkService","C:\Windows\system32\svchost.exe -k NetworkService","Provides three management services: Catalog Database Service, which confirms the signatures of Windows files and allows new programs to be installed; Protected Root Service, which adds and removes Trusted Root Certification Authority certificates from this computer; and Automatic Root Certificate Update Service, which retrieves root certificates from Windows Update and enable scenarios such as SSL. If this service is stopped, these management services will not function properly. If this service is disabled, any services that explicitly depend on it will fail to start."
"Service","192.168.149.10","CscService","Offline Files","Stopped","Disabled","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted","The Offline Files service performs maintenance activities on the Offline Files cache, responds to user logon and logoff events, implements the internals of the public API, and dispatches interesting events to those interested in Offline Files activities and changes in cache state."
"Service","192.168.149.10","DcomLaunch","DCOM Server Process Launcher","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k DcomLaunch","The DCOMLAUNCH service launches COM and DCOM servers in response to object activation requests. If this service is stopped or disabled, programs using COM or DCOM will not function properly. It is strongly recommended that you have the DCOMLAUNCH service running."
"Service","192.168.149.10","DcpSvc","DataCollectionPublishingService","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k netsvcs","The DCP (Data Collection and Publishing) service supports first party apps to upload data to cloud."
"Service","192.168.149.10","defragsvc","Optimize drives","Stopped","Manual","localSystem","C:\Windows\system32\svchost.exe -k defragsvc","Helps the computer run more efficiently by optimizing files on storage drives."
"Service","192.168.149.10","DeviceAssociationService","Device Association Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted","Enables pairing between the system and wired or wireless devices."
"Service","192.168.149.10","DeviceInstall","Device Install Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k DcomLaunch","Enables a computer to recognize and adapt to hardware changes with little or no user input. Stopping or disabling this service will result in system instability."
"Service","192.168.149.10","DevQueryBroker","DevQuery Background Discovery Broker","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted","Enables apps to discover devices with a backgroud task"
"Service","192.168.149.10","Dfs","DFS Namespace","Running","Auto","LocalSystem","C:\Windows\system32\dfssvc.exe","Enables you to group shared folders located on different servers into one or more logically structured namespaces. Each namespace appears to users as a single shared folder with a series of subfolders."
"Service","192.168.149.10","DFSR","DFS Replication","Running","Auto","LocalSystem","C:\Windows\system32\DFSRs.exe","Enables you to synchronize folders on multiple servers across local or wide area network (WAN) network connections. This service uses the Remote Differential Compression (RDC) protocol to update only the portions of files that have changed since the last replication."
"Service","192.168.149.10","Dhcp","DHCP Client","Running","Auto","NT Authority\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted","Registers and updates IP addresses and DNS records for this computer. If this service is stopped, this computer will not receive dynamic IP addresses and DNS updates. If this service is disabled, any services that explicitly depend on it will fail to start."
"Service","192.168.149.10","diagnosticshub.standardcollector.service","Microsoft (R) Diagnostics Hub Standard Collector Service","Stopped","Manual","LocalSystem","C:\Windows\system32\DiagSvcs\DiagnosticsHub.StandardCollector.Service.exe","Diagnostics Hub Standard Collector Service. When running, this service collects real time ETW events and processes them."
"Service","192.168.149.10","DiagTrack","Connected User Experiences and Telemetry","Running","Auto","LocalSystem","C:\Windows\System32\svchost.exe -k utcsvc","The Connected User Experiences and Telemetry service enables features that support in-application and connected user experiences. Additionally, this service manages the event driven collection and transmission of diagnostic and usage information (used to improve the experience and quality of the Windows Platform) when the diagnostics and usage privacy option settings are enabled under Feedback and Diagnostics."
"Service","192.168.149.10","DmEnrollmentSvc","Device Management Enrollment Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs","Performs Device Enrollment Activities for Device Management"
"Service","192.168.149.10","dmwappushservice","dmwappushsvc","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs","WAP Push Message Routing Service"
"Service","192.168.149.10","DNS","DNS Server","Running","Auto","LocalSystem","C:\Windows\system32\dns.exe","Enables DNS clients to resolve DNS names by answering DNS queries and dynamic DNS update requests. If this service is stopped, DNS updates will not occur. If this service is disabled, any services that explicitly depend on it will fail to start."
"Service","192.168.149.10","Dnscache","DNS Client","Running","Auto","NT AUTHORITY\NetworkService","C:\Windows\system32\svchost.exe -k NetworkService","The DNS Client service (dnscache) caches Domain Name System (DNS) names and registers the full computer name for this computer. If the service is stopped, DNS names will continue to be resolved. However, the results of DNS name queries will not be cached and the computer's name will not be registered. If the service is disabled, any services that explicitly depend on it will fail to start."
"Service","192.168.149.10","dot3svc","Wired AutoConfig","Stopped","Manual","localSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted","The Wired AutoConfig (DOT3SVC) service is responsible for performing IEEE 802.1X authentication on Ethernet interfaces. If your current wired network deployment enforces 802.1X authentication, the DOT3SVC service should be configured to run for establishing Layer 2 connectivity and/or providing access to network resources. Wired networks that do not enforce 802.1X authentication are unaffected by the DOT3SVC service."
"Service","192.168.149.10","DPS","Diagnostic Policy Service","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork","The Diagnostic Policy Service enables problem detection, troubleshooting and resolution for Windows components.  If this service is stopped, diagnostics will no longer function."
"Service","192.168.149.10","DsmSvc","Device Setup Manager","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs","Enables the detection, download and installation of device-related software. If this service is disabled, devices may be configured with outdated software, and may not work correctly."
"Service","192.168.149.10","DsRoleSvc","DS Role Server","Stopped","Manual","LocalSystem","C:\Windows\System32\lsass.exe","This service hosts the DS Role Server used for DC promotion, demotion, and cloning. If this service is disabled, these operations will fail."
"Service","192.168.149.10","DsSvc","Data Sharing Service","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted","Provides data brokering between applications."
"Service","192.168.149.10","Eaphost","Extensible Authentication Protocol","Stopped","Manual","localSystem","C:\Windows\System32\svchost.exe -k netsvcs","The Extensible Authentication Protocol (EAP) service provides network authentication in such scenarios as 802.1x wired and wireless, VPN, and Network Access Protection (NAP).  EAP also provides application programming interfaces (APIs) that are used by network access clients, including wireless and VPN clients, during the authentication process.  If you disable this service, this computer is prevented from accessing networks that require EAP authentication."
"Service","192.168.149.10","EFS","Encrypting File System (EFS)","Stopped","Manual","LocalSystem","C:\Windows\System32\lsass.exe","Provides the core file encryption technology used to store encrypted files on NTFS file system volumes. If this service is stopped or disabled, applications will be unable to access encrypted files."
"Service","192.168.149.10","embeddedmode","Embedded Mode","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted","The Embedded Mode service enables scenarios related to Background Applications.  Disabling this service will prevent Background Applications from being activated."
"Service","192.168.149.10","EntAppSvc","Enterprise App Management Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k appmodel","Enables enterprise application management."
"Service","192.168.149.10","EventLog","Windows Event Log","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted","This service manages events and event logs. It supports logging events, querying events, subscribing to events, archiving event logs, and managing event metadata. It can display events in both XML and plain text format. Stopping this service may compromise security and reliability of the system."
"Service","192.168.149.10","EventSystem","COM+ Event System","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService","Supports System Event Notification Service (SENS), which provides automatic distribution of events to subscribing Component Object Model (COM) components. If the service is stopped, SENS will close and will not be able to provide logon and logoff notifications. If this service is disabled, any services that explicitly depend on it will fail to start."
"Service","192.168.149.10","fdPHost","Function Discovery Provider Host","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService","The FDPHOST service hosts the Function Discovery (FD) network discovery providers. These FD providers supply network discovery services for the Simple Services Discovery Protocol (SSDP) and Web Services – Discovery (WS-D) protocol. Stopping or disabling the FDPHOST service will disable network discovery for these protocols when using FD. When this service is unavailable, network services using FD and relying on these discovery protocols will be unable to find network devices or resources."
"Service","192.168.149.10","FDResPub","Function Discovery Resource Publication","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation","Publishes this computer and resources attached to this computer so they can be discovered over the network.  If this service is stopped, network resources will no longer be published and they will not be discovered by other computers on the network."
"Service","192.168.149.10","FontCache","Windows Font Cache Service","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService","Optimizes performance of applications by caching commonly used font data. Applications will start this service if it is not already running. It can be disabled, though doing so will degrade application performance."
"Service","192.168.149.10","FrameServer","Windows Camera Frame Server","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k Camera","Enables multiple clients to access video frames from camera devices."
